H-1 CENSUS HOUSES AND THE USES TO WHICH THEY ARE PUT ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table Name,State Code,District Code,Tehsil Code,Town Code,Area Name,"Total/
Rural/
Urban","Total number
of
census houses","Total number
of 
vacant census houses","Total number 
of occupied census houses","Occupied Census Houses used as
",,,,,,,,,No. of occupied locked census houses,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Residence,"Residence
-cum-
other use","Shop/
 Office","School/
 College etc.","Hotel/
Lodge/
Guest house etc.",Hospital/ Dispensary etc.,"Factory/
Workshop/
Workshed etc.","Place
of
worship","Other
non-residential use",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HL0101,07,091,00434,800441,DMC (U) (Part),Urban," 58,531 "," 2,990 "," 55,541 "," 22,476 "," 1,380 "," 22,036 ", 100 , 111 , 88 ," 1,708 ", 210 ," 6,433 ", 999 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HL0101,07,091,00435,800441,DMC (U) (Part),Urban," 50,886 "," 3,126 "," 47,760 "," 13,198 ", 614 ," 27,213 ", 84 , 183 , 92 , 766 , 228 ," 5,049 ", 333 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HL0101,07,092,00000,000000,District - North East,Total," 487,581 "," 38,165 "," 449,416 "," 360,889 "," 26,680 "," 26,060 "," 1,137 ", 373 , 705 ," 10,864 "," 1,040 "," 18,903 "," 2,765 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
HL0101,07,092,00000,000000,District - North East,Rural," 5,326 ", 913 ," 4,413 "," 3,446 ", 157 , 207 , 15 , 4 , 6 , 95 , 20 , 436 , 27 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HL0101,07,092,00000,000000,District - North East,Urban," 482,255 "," 37,252 "," 445,003 "," 357,443 "," 26,523 "," 25,853 "," 1,122 ", 369 , 699 ," 10,769 "," 1,020 "," 18,467 "," 2,738 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
HL0101,07,092,00436,800441,DMC (U) (Part),Urban," 108,786 "," 7,277 "," 101,509 "," 78,638 "," 7,924 "," 6,307 ", 289 , 118 , 174 ," 3,032 ", 242 ," 4,093 ", 692 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HL0101,07,092,00436,063970,Karawal Nagar (CT),Urban," 49,223 "," 5,237 "," 43,986 "," 37,074 "," 2,321 "," 1,681 ", 120 , 13 , 49 , 758 , 73 ," 1,657 ", 240 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HL0101,07,092,00436,063973,Mustafabad (CT),Urban," 23,645 "," 1,855 "," 21,790 "," 18,207 "," 1,361 ", 993 , 62 , 18 , 33 , 278 , 50 , 704 , 84 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HL0101,07,092,00436,063979,Gokal Pur (CT),Urban," 26,066 "," 1,409 "," 24,657 "," 20,419 "," 1,101 "," 1,616 ", 55 , 14 , 35 , 472 , 41 , 786 , 118 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HL0101,07,092,00437,800441,DMC (U) (Part),Urban," 52,760 "," 3,549 "," 49,211 "," 37,619 "," 3,245 "," 3,675 ", 128 , 45 , 117 ," 1,314 ", 167 ," 2,531 ", 370 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HL0101,07,092,00438,800441,DMC (U) (Part),Urban," 100,935 "," 7,955 "," 92,980 "," 76,255 "," 3,712 "," 5,283 ", 195 , 58 , 162 ," 2,386 ", 178 ," 4,240 ", 511 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HL0101,07,092,00438,063982,Mandoli (CT),Urban," 25,474 "," 1,687 "," 23,787 "," 19,685 "," 1,210 "," 1,327 ", 45 , 11 , 27 , 499 , 57 , 799 , 127 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HL0101,07,093,00000,000000,District - East,Total," 462,218 "," 36,646 "," 425,572 "," 336,761 "," 15,339 "," 37,689 ", 982 , 592 , 868 ," 9,769 ", 756 ," 18,965 "," 3,851 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
HL0101,07,093,00000,000000,District - East,Rural," 1,086 ", 125 , 961 , 805 , 20 , 69 , -   , -   , 1 , 36 , 2 , 28 , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HL0101,07,093,00000,000000,District - East,Urban," 461,132 "," 36,521 "," 424,611 "," 335,956 "," 15,319 "," 37,620 ", 982 , 592 , 867 ," 9,733 ", 754 ," 18,937 "," 3,851 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
HL0101,07,093,00439,800441,DMC (U) (Part),Urban," 110,697 "," 6,743 "," 103,954 "," 73,196 "," 5,857 "," 12,806 ", 188 , 148 , 173 ," 5,753 ", 229 ," 4,182 "," 1,422 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
HL0101,07,093,00440,800441,DMC (U) (Part),Urban," 65,162 "," 5,564 "," 59,598 "," 46,408 "," 2,314 "," 4,861 ", 161 , 87 , 140 ," 2,231 ", 146 ," 2,953 ", 297 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HL0101,07,093,00441,800441,DMC (U) (Part),Urban," 173,525 "," 14,076 "," 159,449 "," 130,731 "," 4,605 "," 13,230 ", 371 , 260 , 351 ," 1,205 ", 239 ," 7,002 "," 1,455 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
HL0101,07,093,00441,063988,Dallo Pura (CT),Urban," 36,246 "," 1,744 "," 34,502 "," 30,425 ", 527 ," 1,848 ", 59 , 21 , 81 , 124 , 69 ," 1,211 ", 137 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HL0101,07,094,00000,000000,District - New Delhi,Total," 52,664 "," 4,653 "," 48,011 "," 29,655 ", 598 ," 10,443 ", 127 , 659 , 91 , 82 , 123 ," 5,423 ", 810 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HL0101,07,094,00000,000000,District - New Delhi,Rural, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HL0101,07,094,00000,000000,District - New Delhi,Urban," 52,664 "," 4,653 "," 48,011 "," 29,655 ", 598 ," 10,443 ", 127 , 659 , 91 , 82 , 123 ," 5,423 ", 810 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HL0101,07,094,00442,800441,DMC (U) (Part),Urban, 969 , 107 , 862 , 675 , 41 , 30 , -   , 7 , 3 , 2 , 9 , 87 , 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HL0101,07,094,00442,800442,NDMC (Part),Urban," 17,193 "," 1,505 "," 15,688 "," 5,495 ", 108 ," 7,711 ", 50 , 166 , 32 , 33 , 29 ," 1,888 ", 176 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HL0101,07,094,00443,800442,NDMC (Part),Urban," 18,920 "," 1,747 "," 17,173 "," 13,061 ", 301 ," 1,219 ", 37 , 444 , 27 , 22 , 39 ," 1,648 ", 375 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HL0101,07,094,00444,800442,NDMC (Part),Urban," 15,582 "," 1,294 "," 14,288 "," 10,424 ", 148 ," 1,483 ", 40 , 42 , 29 , 25 , 46 ," 1,800 ", 251 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HL0101,07,095,00000,000000,District - Central,Total," 194,897 "," 13,143 "," 181,754 "," 109,045 "," 4,542 "," 45,097 ", 445 ," 1,492 ", 484 ," 6,484 ", 593 ," 10,286 "," 3,286 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
HL0101,07,095,00000,000000,District - Central,Rural, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HL0101,07,095,00000,000000,District - Central,Urban," 194,897 "," 13,143 "," 181,754 "," 109,045 "," 4,542 "," 45,097 ", 445 ," 1,492 ", 484 ," 6,484 ", 593 ," 10,286 "," 3,286 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
HL0101,07,095,00445,800441,DMC (U) (Part),Urban," 80,297 "," 4,066 "," 76,231 "," 48,140 "," 1,461 "," 17,878 ", 195 , 270 , 200 ," 2,276 ", 302 ," 4,485 "," 1,024 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
HL0101,07,095,00446,800441,DMC (U) (Part),Urban," 58,148 "," 4,563 "," 53,585 "," 32,758 "," 1,657 "," 11,565 ", 111 , 830 , 163 ," 2,452 ", 182 ," 3,041 ", 826 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HL0101,07,095,00446,800442,NDMC (Part),Urban, 971 , 59 , 912 , 634 , 2 , 122 , 4 , 8 , 1 , 3 , 7 , 121 , 10 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HL0101,07,095,00447,800441,DMC (U) (Part),Urban," 55,481 "," 4,455 "," 51,026 "," 27,513 "," 1,422 "," 15,532 ", 135 , 384 , 120 ," 1,753 ", 102 ," 2,639 "," 1,426 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
HL0101,07,096,00000,000000,District - West,Total," 701,512 "," 77,155 "," 624,357 "," 499,575 "," 21,070 "," 46,762 "," 1,282 ", 578 ," 1,223 "," 16,469 "," 1,133 "," 30,831 "," 5,434 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
HL0101,07,096,00000,000000,District - West,Rural," 1,809 ", 215 ," 1,594 "," 1,099 ", 39 , 33 , -   , -   , 2 , 22 , 1 , 365 , 33 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HL0101,07,096,00000,000000,District - West,Urban," 699,703 "," 76,940 "," 622,763 "," 498,476 "," 21,031 "," 46,729 "," 1,282 ", 578 ," 1,221 "," 16,447 "," 1,132 "," 30,466 "," 5,401 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
HL0101,07,096,00448,800441,DMC (U) (Part),Urban," 295,375 "," 27,003 "," 268,372 "," 214,623 "," 8,471 "," 22,325 ", 565 , 291 , 512 ," 6,893 ", 509 ," 11,956 "," 2,227 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
HL0101,07,096,00448,063991,Hastsal (CT),Urban," 46,603 "," 6,227 "," 40,376 "," 33,770 "," 2,059 "," 1,758 ", 76 , 11 , 41 , 407 , 60 ," 1,867 ", 327 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HL0101,07,096,00449,800441,DMC (U) (Part),Urban," 132,985 "," 10,770 "," 122,215 "," 96,916 "," 3,764 "," 11,442 ", 248 , 121 , 330 ," 3,179 ", 211 ," 4,761 "," 1,243 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
HL0101,07,096,00450,800441,DMC (U) (Part),Urban," 92,076 "," 8,674 "," 83,402 "," 68,356 "," 1,997 "," 5,385 ", 166 , 87 , 183 ," 2,666 ", 119 ," 3,679 ", 764 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HL0101,07,096,00450,063999,Nangloi Jat (CT),Urban," 51,407 "," 5,910 "," 45,497 "," 36,829 "," 2,004 "," 2,677 ", 106 , 42 , 87 , 942 , 107 ," 2,446 ", 257 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HL0101,07,097,00000,000000,District - South West,Total," 647,682 "," 91,212 "," 556,470 "," 442,049 "," 17,155 "," 37,049 "," 1,286 ", 884 , 928 ," 5,370 ", 922 ," 44,631 "," 6,196 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
HL0101,07,097,00000,000000,District - South West,Rural," 41,179 "," 6,428 "," 34,751 "," 25,123 "," 1,304 ", 973 , 87 , 18 , 37 , 97 , 110 ," 6,810 ", 192 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HL0101,07,097,00000,000000,District - South West,Urban," 606,503 "," 84,784 "," 521,719 "," 416,926 "," 15,851 "," 36,076 "," 1,199 ", 866 , 891 ," 5,273 ", 812 ," 37,821 "," 6,004 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
HL0101,07,097,00451,800441,DMC (U) (Part),Urban," 286,859 "," 45,729 "," 241,130 "," 197,682 "," 8,769 "," 13,566 ", 563 , 199 , 387 ," 1,978 ", 368 ," 15,406 "," 2,212 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
HL0101,07,097,00452,800441,DMC (U) (Part),Urban," 49,272 "," 3,206 "," 46,066 "," 34,285 "," 1,547 "," 5,028 ", 83 , 97 , 76 ," 2,123 ", 74 ," 2,459 ", 294 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HL0101,07,097,00452,800443,Delhi Cantonment (CB) (Part),Urban," 10,368 ", 672 ," 9,696 "," 7,762 ", 483 , 577 , 34 , 11 , 13 , 129 , 29 , 595 , 63 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HL0101,07,097,00453,800441,DMC (U) (Part),Urban," 127,493 "," 18,647 "," 108,846 "," 84,583 "," 2,040 "," 9,569 ", 294 , 377 , 211 , 361 , 160 ," 9,167 "," 2,084 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
HL0101,07,097,00453,800442,NDMC (Part),Urban," 23,470 "," 1,980 "," 21,490 "," 17,563 ", 227 ," 1,438 ", 33 , 106 , 74 , 43 , 35 ," 1,913 ", 58 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HL0101,07,098,00000,000000,District - South,Total," 731,063 "," 76,282 "," 654,781 "," 531,933 "," 18,234 "," 48,005 "," 1,669 "," 1,976 "," 1,211 "," 8,826 "," 1,318 "," 35,108 "," 6,501 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
HL0101,07,098,00000,000000,District - South,Rural," 2,918 ", 355 ," 2,563 "," 2,147 ", 107 , 66 , 9 , 5 , 3 , 20 , 12 , 163 , 31 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HL0101,07,098,00000,000000,District - South,Urban," 728,145 "," 75,927 "," 652,218 "," 529,786 "," 18,127 "," 47,939 "," 1,660 "," 1,971 "," 1,208 "," 8,806 "," 1,306 "," 34,945 "," 6,470 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
HL0101,07,098,00454,800441,DMC (U) (Part),Urban," 207,146 "," 19,410 "," 187,736 "," 155,452 "," 4,748 "," 13,681 ", 535 , 674 , 367 ," 1,431 ", 340 ," 8,612 "," 1,896 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
HL0101,07,098,00454,800442,NDMC (Part),Urban, 550 , 28 , 522 , 412 , 7 , 52 , 2 , -   , 1 , 4 , -   , 44 , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HL0101,07,098,00454,064076,Deoli (CT),Urban," 38,525 "," 4,247 "," 34,278 "," 29,415 "," 1,287 "," 1,539 ", 99 , 14 , 32 , 204 , 46 ," 1,401 ", 241 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HL0101,07,098,00455,800441,DMC (U) (Part),Urban," 166,559 "," 16,495 "," 150,064 "," 118,576 "," 3,400 "," 13,777 ", 366 , 814 , 328 ," 1,679 ", 324 ," 8,838 "," 1,962 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
HL0101,07,098,00455,800442,NDMC (Part),Urban," 9,133 ", 608 ," 8,525 "," 7,174 ", 103 , 514 , 15 , 37 , 44 , 32 , 21 , 535 , 50 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HL0101,07,098,00456,800441,DMC (U) (Part),Urban," 130,472 "," 12,124 "," 118,348 "," 93,992 "," 3,549 "," 9,435 ", 219 , 274 , 201 ," 4,200 ", 190 ," 5,624 ", 664 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note:,City level data will be available only in electronic format.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
